TactSD,TactIrreg,TactReg,labels
0.81,0.71,0.57,1
0.86,0.67,0.62,1
0.62,0.33,0.29,2
0.71,0.62,0.52,0
0.81,0.9,0.86,1
0.71,0.67,0.67,1
0.76,0.43,0.24,0
0.81,0.67,0.57,1
0.67,0.76,0.62,1
0.71,0.57,0.52,0
0.76,0.86,0.62,1
0.67,0.38,0.38,2
0.81,0.52,0.43,0
0.71,0.38,0.57,2
0.86,0.48,0.43,0
0.81,0.67,0.71,1
0.86,0.57,0.38,0
0.71,0.67,0.62,1
0.81,0.48,0.38,0
0.81,0.62,0.67,1
0.76,0.62,0.62,1
0.81,0.38,0.43,2
0.57,0.43,0.29,0
0.71,0.38,0.48,2
0.81,0.48,0.76,1
0.71,0.33,0.33,2
0.71,0.67,0.57,1
0.76,0.81,0.57,1
0.48,0.38,0.57,2
0.71,0.48,0.38,0
0.81,0.38,0.38,2
0.76,0.52,0.43,0
0.71,0.38,0.52,2
0.81,0.62,0.43,0
0.71,0.52,0.29,0
0.81,0.29,0.48,2
0.67,0.48,0.38,0
0.71,0.43,0.29,0
0.71,0.48,0.19,0
0.67,0.29,0.43,2
0.76,0.33,0.57,2
0.67,0.43,0.48,2
0.81,0.43,0.43,2
0.76,0.52,0.33,0
0.71,0.38,0.71,2
0.71,0.29,0.43,2
0.76,0.38,0.43,2
0.86,0.76,0.52,1
0.57,0.71,0.24,0
0.76,0.62,0.52,0
0.81,0.86,0.62,1
0.62,0.57,0.52,0
0.81,0.33,0.43,2
0.81,0.52,0.48,0
0.71,0.38,0.43,2
0.86,0.48,0.52,2
0.67,0.29,0.38,2
0.81,0.33,0.52,2
0.71,0.52,0.19,0
0.71,0.33,0.48,2
0.81,0.57,0.24,0
0.43,0.29,0.43,2
0.9,0.48,0.81,1
0.38,0.29,0.38,2
0.71,0.48,0.38,0
0.57,0.24,0.33,2
0.86,0.67,0.67,1
0.67,0.48,0.33,0
0.76,0.81,0.62,1
0.81,0.52,0.52,0
0.67,0.67,0.33,0
0.76,0.71,0.52,1
0.76,0.24,0.48,2
0.67,0.29,0.62,2
0.81,0.71,0.38,0
0.48,0.19,0.48,2
0.9,0.43,0.52,2
0.86,0.43,0.33,0
0.86,0.57,0.43,0
0.57,0.48,0.48,2
0.62,0.29,0.29,2
0.62,0.52,0.38,0
0.81,0.48,0.43,0
0.76,0.48,0.38,0
0.86,0.38,0.43,2
0.9,0.81,0.57,1
0.57,0.43,0.48,2
0.81,0.86,0.67,1
0.76,0.57,0.43,0
0.86,0.38,0.48,2
0.81,0.86,0.67,1
0.86,0.81,0.62,1
0.76,0.38,0.52,2
0.67,0.57,0.43,0
0.76,0.57,0.38,0
0.67,0.9,0.86,1
0.86,0.9,0.76,1
0.86,0.62,0.71,1
0.67,0.43,0.62,2
0.52,0.57,0.38,0
0.76,0.29,0.38,2
0.86,0.43,0.52,2
0.57,0.57,0.33,0
0.76,0.76,0.62,1
0.67,0.33,0.29,2
0.67,0.52,0.52,0
0.95,0.71,0.52,1
0.86,0.52,0.52,0
0.48,0.57,0.38,0
0.81,0.52,0.52,0
0.81,0.67,0.86,1
0.86,0.38,0.48,2
0.71,0.48,0.38,0
0.57,0.43,0.52,2
0.86,0.48,0.52,2
0.81,0.38,0.52,2
0.57,0.57,0.52,0
0.86,0.48,0.33,0
0.81,0.33,0.33,2
0.76,0.19,0.48,2
0.81,0.52,0.62,1
0.71,0.38,0.24,0
0.76,0.62,0.29,0
0.71,0.62,0.19,0
0.86,0.71,0.86,1
0.67,0.57,0.81,1
0.76,0.38,0.38,2
0.71,0.71,0.57,1
0.76,0.48,0.57,2
0.81,0.38,0.57,2
0.76,0.57,0.52,0
0.81,0.33,0.67,2
0.76,0.24,0.29,2
0.67,0.48,0.52,2
0.81,0.52,0.29,0
0.9,0.71,0.9,1
0.76,0.57,0.81,1
0.76,0.57,0.71,1
0.71,0.29,0.33,2
0.76,0.71,0.57,1
0.81,0.38,0.33,2
