VisSD,VisIrreg,VisReg,labels
0.81,0.76,0.57,0
0.86,0.57,0.57,0
0.57,0.38,0.33,1
0.52,0.57,0.38,1
0.86,1.0,0.62,0
0.67,0.62,0.33,1
0.67,0.57,0.52,0
0.86,0.76,0.62,0
0.67,0.62,0.81,0
0.43,0.19,0.43,1
0.67,0.62,0.71,0
0.67,0.67,0.33,1
0.76,0.67,0.43,0
0.71,0.43,0.33,1
0.76,0.9,0.48,0
0.86,0.86,0.29,0
0.52,0.67,0.62,0
0.86,0.48,0.43,1
0.52,0.48,0.43,1
0.81,0.81,0.48,0
0.71,0.57,0.48,1
0.81,0.57,0.43,1
0.43,0.57,0.19,1
0.48,0.43,0.52,1
0.81,0.86,0.71,0
0.62,0.48,0.24,1
0.86,0.71,0.62,0
0.76,0.57,0.33,1
0.52,0.33,0.43,1
0.43,0.71,0.52,0
0.76,0.71,0.19,1
0.62,0.71,0.62,0
0.76,0.33,0.38,1
0.86,0.52,0.24,1
0.52,0.29,0.43,1
0.71,0.38,0.33,1
0.71,0.29,0.24,1
0.81,0.38,0.29,1
0.81,0.67,0.52,0
0.52,0.52,0.48,1
0.81,0.52,0.43,1
0.62,0.38,0.29,1
0.62,0.67,0.48,0
0.62,0.33,0.48,1
0.76,0.48,0.48,1
0.57,0.62,0.57,0
0.76,0.62,0.71,0
0.9,0.43,0.38,1
0.57,0.71,0.33,1
0.81,0.57,0.48,0
0.57,0.81,0.48,0
0.76,0.29,0.38,1
0.71,0.43,0.48,1
0.71,0.33,0.33,1
0.67,0.48,0.38,1
0.95,0.86,0.52,0
0.71,0.52,0.52,1
0.62,0.67,0.67,0
0.76,0.81,0.48,0
0.76,0.29,0.33,1
0.38,0.62,0.43,1
0.33,0.38,0.24,1
0.86,0.57,0.62,0
0.52,0.29,0.29,1
0.62,0.33,0.29,1
0.33,0.38,0.29,1
0.76,0.57,0.38,1
0.57,0.71,0.48,0
0.81,0.9,0.57,0
0.76,0.81,0.52,0
0.62,0.43,0.43,1
0.86,0.48,0.71,0
0.29,0.43,0.29,1
0.48,0.38,0.48,1
0.76,0.86,0.76,0
0.71,0.29,0.52,1
0.52,0.67,0.38,1
0.76,0.81,0.43,0
0.62,0.48,0.14,1
0.62,0.38,0.33,1
0.29,0.43,0.24,1
0.62,0.43,0.38,1
0.62,0.62,0.62,0
0.38,0.29,0.43,1
0.62,0.29,0.48,1
0.52,0.62,0.33,1
0.67,0.38,0.1,1
0.86,0.95,0.71,0
0.62,0.48,0.38,1
0.76,0.29,0.19,1
0.81,0.9,0.67,0
0.67,0.71,0.43,0
0.81,0.33,0.67,1
0.62,0.81,0.43,0
0.81,0.57,0.62,0
0.71,0.86,0.86,0
0.81,0.95,0.71,0
0.81,0.52,0.43,1
0.48,0.81,0.62,0
0.71,0.29,0.29,1
0.62,0.43,0.38,1
0.9,0.38,0.38,1
0.57,0.57,0.67,0
0.86,0.43,0.43,1
0.57,0.52,0.48,1
0.71,0.38,0.33,1
0.81,0.76,0.86,0
0.62,0.43,0.38,1
0.19,0.43,0.24,1
0.48,0.62,0.48,1
0.62,0.9,0.62,0
0.71,0.43,0.52,1
0.76,0.57,0.48,0
0.81,0.57,0.48,0
0.71,0.57,0.33,1
0.76,0.48,0.48,1
0.71,0.33,0.33,1
0.86,0.67,0.81,0
0.76,0.52,0.24,1
0.62,0.43,0.29,1
0.52,0.81,0.29,0
0.43,0.29,0.29,1
0.81,0.76,0.52,0
0.95,0.57,0.33,1
0.71,0.71,0.67,0
0.71,0.62,0.62,0
0.67,0.81,0.76,0
0.67,0.76,0.67,0
0.71,0.62,0.48,0
0.67,0.62,0.43,1
0.81,0.76,0.33,0
0.71,0.71,0.62,0
0.57,0.48,0.33,1
0.57,0.52,0.62,0
0.57,0.52,0.43,1
0.81,0.9,0.76,0
0.71,0.52,0.43,1
0.81,0.76,0.71,0
0.76,0.57,0.38,1
0.76,0.71,0.57,0
0.67,0.62,0.52,0
